date,code,open,high,low,close,preclose,volume,pctChg,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-01-02,sh.600000,12.4700,12.6400,12.4500,12.4700,12.3700,51629079,0.808400,647446166.0000,3,0.183700,1,0.808400,0
2020-01-03,sh.600000,12.5700,12.6300,12.4700,12.6000,12.4700,38018810,1.042500,477053357.0000,3,0.135300,1,1.042500,0
2020-01-06,sh.600000,12.5200,12.6500,12.4200,12.4600,12.6000,41001193,-1.111100,514432551.0000,3,0.145900,1,-1.111100,0
2020-01-07,sh.600000,12.5100,12.6000,12.4600,12.5000,12.4600,28421482,0.321000,355811756.0000,3,0.101100,1,0.321000,0
2020-01-08,sh.600000,12.4100,12.4500,12.2500,12.3200,12.5000,35240536,-1.440000,434980266.0000,3,0.125400,1,-1.440000,0
2020-01-09,sh.600000,12.3900,12.4300,12.3500,12.3700,12.3200,26151448,0.405800,324168061.0000,3,0.093100,1,0.405800,0
2020-01-10,sh.600000,12.3700,12.4200,12.3100,12.3900,12.3700,18321252,0.161700,226580302.0000,3,0.065200,1,0.161700,0
2020-01-13,sh.600000,12.4000,12.4100,12.3100,12.4100,12.3900,20715566,0.161400,255982380.0000,3,0.073700,1,0.161400,0
2020-01-14,sh.600000,12.4000,12.6900,12.3900,12.4300,12.4100,29994561,0.161200,374971640.0000,3,0.106700,1,0.161200,0
2020-01-15,sh.600000,12.4100,12.4500,12.2500,12.2500,12.4300,31897217,-1.448100,392531149.0000,3,0.113500,1,-1.448100,0
2020-01-16,sh.600000,12.2800,12.3100,12.1600,12.2000,12.2500,22454876,-0.408200,274130148.0000,3,0.079900,1,-0.408200,0
2020-01-17,sh.600000,12.2200,12.2900,12.1600,12.2300,12.2000,17593111,0.245900,215028083.0000,3,0.062600,1,0.245900,0
